transaction_id,arrival_time,service_time_min,wait_time_min,transaction_type,teller_id,abandoned,response_time_min,handled,queue_length_at_arrival
30,10/21/2025 11:40,34.8,21.2,Pay Order,T1,FALSE,56,TRUE,0
31,10/21/2025 11:40,100.3,21.6,Loan Inquiry,T2,FALSE,121.9,TRUE,0
32,10/21/2025 11:41,,25.1,Balance Check,,TRUE,,FALSE,1
33,10/21/2025 11:45,6.6,21.1,Deposit,T3,FALSE,27.7,TRUE,1
34,10/21/2025 11:46,,26.9,Deposit,,TRUE,,FALSE,2
35,10/21/2025 11:49,8.7,23.5,Pay Order,T3,FALSE,32.2,TRUE,2
36,10/21/2025 11:49,,32,Withdrawal,,TRUE,,FALSE,3
37,10/21/2025 11:50,,31,Deposit,,TRUE,,FALSE,4
38,10/21/2025 11:54,,27.1,Loan Inquiry,,TRUE,,FALSE,5
39,10/21/2025 11:56,5,24.7,Transfer,T3,FALSE,29.7,TRUE,5
40,10/21/2025 11:59,,26.9,Withdrawal,,TRUE,,FALSE,6
41,10/21/2025 12:01,,25.3,Deposit,,TRUE,,FALSE,7
42,10/21/2025 12:01,,25,Balance Check,,TRUE,,FALSE,8
43,10/21/2025 12:01,6.6,24.8,Deposit,T3,FALSE,31.4,TRUE,8
44,10/21/2025 12:01,,31.3,Pay Order,,TRUE,,FALSE,9
45,10/21/2025 12:02,,30.6,Withdrawal,,TRUE,,FALSE,10
46,10/21/2025 12:02,,30.3,Pay Order,,TRUE,,FALSE,11
47,10/21/2025 12:03,,29.4,Deposit,,TRUE,,FALSE,12
48,10/21/2025 12:04,,28.8,Pay Order,,TRUE,,FALSE,13
49,10/21/2025 12:05,,27.9,Loan Inquiry,,TRUE,,FALSE,14
50,10/21/2025 12:07,,25.5,Withdrawal,,TRUE,,FALSE,15
51,10/21/2025 12:08,4.2,24.9,Withdrawal,T3,FALSE,29.1,TRUE,15
52,10/21/2025 12:08,,27.6,Withdrawal,,TRUE,,FALSE,16
53,10/21/2025 12:11,1,24.7,Transfer,T1,FALSE,25.7,TRUE,16
54,10/21/2025 12:12,7.1,24.3,Deposit,T1,FALSE,31.3,TRUE,16
55,10/21/2025 12:13,1.5,24.5,Loan Inquiry,T3,FALSE,26,TRUE,16
56,10/21/2025 12:21,1,17.3,Withdrawal,T3,FALSE,18.3,TRUE,16
57,10/21/2025 12:22,22.2,17.4,Transfer,T3,FALSE,39.7,TRUE,16
58,10/21/2025 12:26,4.3,17.7,Withdrawal,T1,FALSE,22,TRUE,16
59,10/21/2025 12:26,33,21.6,Loan Inquiry,T1,FALSE,54.5,TRUE,16
60,10/21/2025 12:27,,34.3,Withdrawal,,TRUE,,FALSE,17
61,10/21/2025 12:29,,32.3,Withdrawal,,TRUE,,FALSE,18
62,10/21/2025 12:30,,32.2,Pay Order,,TRUE,,FALSE,19
63,10/21/2025 12:30,,31.8,Transfer,,TRUE,,FALSE,20
64,10/21/2025 12:31,,30.6,Deposit,,TRUE,,FALSE,21
65,10/21/2025 12:31,,30.6,Deposit,,TRUE,,FALSE,22
66,10/21/2025 12:32,,29.9,Deposit,,TRUE,,FALSE,23
67,10/21/2025 12:35,,27.1,Withdrawal,,TRUE,,FALSE,24
68,10/21/2025 12:35,,27,Deposit,,TRUE,,FALSE,25
69,10/21/2025 12:35,,26.7,Balance Check,,TRUE,,FALSE,26
70,10/21/2025 12:38,3.8,24.2,Deposit,T3,FALSE,27.9,TRUE,26
71,10/21/2025 12:39,,26.1,Deposit,,TRUE,,FALSE,27
72,10/21/2025 12:41,1,25,Pay Order,T3,FALSE,26,TRUE,27
73,10/21/2025 12:41,,25.4,Deposit,,TRUE,,FALSE,28
74,10/21/2025 12:43,1,23.9,Balance Check,T3,FALSE,24.9,TRUE,28
75,10/21/2025 12:45,2.6,22.3,Transfer,T3,FALSE,24.9,TRUE,28
76,10/21/2025 12:46,13.8,23.8,Withdrawal,T3,FALSE,37.6,TRUE,28
77,10/21/2025 12:48,,32.9,Withdrawal,,TRUE,,FALSE,29
78,10/21/2025 12:51,,30.1,Pay Order,,TRUE,,FALSE,30
79,10/21/2025 12:52,,29.1,Deposit,,TRUE,,FALSE,31
80,10/21/2025 12:54,,27.2,Deposit,,TRUE,,FALSE,32
81,10/21/2025 12:55,,25.4,Deposit,,TRUE,,FALSE,33
82,10/21/2025 12:58,13.1,23.2,Deposit,T1,FALSE,36.3,TRUE,33
83,10/21/2025 12:58,,26,Deposit,,TRUE,,FALSE,34
84,10/21/2025 12:58,,25.8,Deposit,,TRUE,,FALSE,35
85,10/21/2025 13:00,11.5,24.3,Pay Order,T3,FALSE,35.8,TRUE,35
86,10/21/2025 13:00,,34.2,Deposit,,TRUE,,FALSE,36
87,10/21/2025 13:01,,33,Transfer,,TRUE,,FALSE,37
88,10/21/2025 13:02,,32.1,Balance Check,,TRUE,,FALSE,38
89,10/21/2025 13:04,,30.1,Deposit,,TRUE,,FALSE,39
90,10/21/2025 13:04,,30.1,Withdrawal,,TRUE,,FALSE,40
91,10/21/2025 13:07,,27.2,Deposit,,TRUE,,FALSE,41
92,10/21/2025 13:09,3.4,24.9,Pay Order,T1,FALSE,28.4,TRUE,41
93,10/21/2025 13:09,,26,Withdrawal,,TRUE,,FALSE,42
94,10/21/2025 13:13,2.3,22.9,Deposit,T3,FALSE,25.2,TRUE,42
95,10/21/2025 13:13,10.3,24,Withdrawal,T1,FALSE,34.3,TRUE,42
96,10/21/2025 13:14,1,24.1,Withdrawal,T3,FALSE,25.1,TRUE,42
97,10/21/2025 13:18,5.3,21.1,Deposit,T3,FALSE,26.4,TRUE,42
98,10/21/2025 13:18,1,24.1,Withdrawal,T2,FALSE,25.1,TRUE,42
99,10/21/2025 13:19,8.4,23.9,Deposit,T2,FALSE,32.2,TRUE,42
100,10/21/2025 13:23,4.9,20.7,Deposit,T3,FALSE,25.7,TRUE,42
101,10/21/2025 13:24,4.2,24,Deposit,T1,FALSE,28.2,TRUE,42
102,10/21/2025 13:25,2.7,23.5,Balance Check,T3,FALSE,26.2,TRUE,42
103,10/21/2025 13:26,,25.4,Deposit,,TRUE,,FALSE,43
104,10/21/2025 13:30,3.2,21,Pay Order,T2,FALSE,24.2,TRUE,43
105,10/21/2025 13:32,7.5,19.5,Deposit,T3,FALSE,27,TRUE,43
106,10/21/2025 13:34,1,17.8,Balance Check,T1,FALSE,18.8,TRUE,43
107,10/21/2025 13:38,5.4,15.3,Deposit,T1,FALSE,20.7,TRUE,43
108,10/21/2025 13:38,5.8,16.7,Loan Inquiry,T2,FALSE,22.4,TRUE,43
109,10/21/2025 13:39,1,19.6,Balance Check,T1,FALSE,20.6,TRUE,43
110,10/21/2025 13:39,2.6,20.3,Deposit,T3,FALSE,22.9,TRUE,43
111,10/21/2025 13:39,2.1,20,Withdrawal,T1,FALSE,22.2,TRUE,43
112,10/21/2025 13:42,12,18.7,Withdrawal,T2,FALSE,30.6,TRUE,43
113,10/21/2025 13:42,29.8,19.4,Loan Inquiry,T1,FALSE,49.3,TRUE,43
114,10/21/2025 13:43,4.8,19.2,Pay Order,T3,FALSE,23.9,TRUE,43
115,10/21/2025 13:43,1.7,23.9,Withdrawal,T3,FALSE,25.5,TRUE,43
116,10/21/2025 13:44,1,24.3,Withdrawal,T3,FALSE,25.3,TRUE,43
117,10/21/2025 13:44,2,24.9,Deposit,T3,FALSE,26.8,TRUE,43
118,10/21/2025 13:45,,26.5,Loan Inquiry,,TRUE,,FALSE,44
119,10/21/2025 13:48,13.8,23.5,Transfer,T3,FALSE,37.3,TRUE,44
120,10/21/2025 13:48,2.5,24.4,Deposit,T2,FALSE,26.9,TRUE,44
121,10/21/2025 13:48,,26.4,Withdrawal,,TRUE,,FALSE,45
122,10/21/2025 13:50,2.4,24.8,Balance Check,T2,FALSE,27.2,TRUE,45
123,10/21/2025 13:50,,27.2,Balance Check,,TRUE,,FALSE,46
124,10/21/2025 13:55,6,22.3,Pay Order,T2,FALSE,28.2,TRUE,46
125,10/21/2025 13:58,4.1,24.8,Deposit,T2,FALSE,28.9,TRUE,46
126,10/21/2025 13:58,,26.4,Pay Order,,TRUE,,FALSE,47
1,10/22/2025 11:00,8.4,0,Deposit,T1,FALSE,8.4,TRUE,0
2,10/22/2025 11:00,9.7,0,Deposit,T2,FALSE,9.7,TRUE,0
3,10/22/2025 11:09,1.5,0,Deposit,T3,FALSE,1.5,TRUE,0
4,10/22/2025 11:12,6.3,0,Loan Inquiry,T1,FALSE,6.3,TRUE,0
5,10/22/2025 11:14,3.9,0,Withdrawal,T2,FALSE,3.9,TRUE,0
6,10/22/2025 11:15,3.9,0,Withdrawal,T3,FALSE,3.9,TRUE,0
7,10/22/2025 11:16,3.3,1.4,Pay Order,T2,FALSE,4.7,TRUE,0
8,10/22/2025 11:17,4,1.9,Deposit,T3,FALSE,5.9,TRUE,0
9,10/22/2025 11:18,1,0.8,Balance Check,T1,FALSE,1.8,TRUE,0
10,10/22/2025 11:20,4.6,0,Deposit,T1,FALSE,4.6,TRUE,0
11,10/22/2025 11:21,5.5,0.3,Withdrawal,T2,FALSE,5.8,TRUE,0
12,10/22/2025 11:23,4.1,0,Deposit,T3,FALSE,4.1,TRUE,0
13,10/22/2025 11:24,1.3,0.5,Withdrawal,T1,FALSE,1.8,TRUE,0
14,10/22/2025 11:24,1.3,1.6,Deposit,T1,FALSE,2.9,TRUE,0
15,10/22/2025 11:26,9.1,0.1,Withdrawal,T2,FALSE,9.1,TRUE,0
16,10/22/2025 11:28,23,0,Pay Order,T3,FALSE,23,TRUE,0
17,10/22/2025 11:31,1,0,Withdrawal,T1,FALSE,1,TRUE,0
18,10/22/2025 11:31,3.4,0.9,Loan Inquiry,T1,FALSE,4.3,TRUE,0
19,10/22/2025 11:32,3.2,3,Withdrawal,T1,FALSE,6.2,TRUE,0
20,10/22/2025 11:32,1,3,Balance Check,T2,FALSE,4,TRUE,0
21,10/22/2025 11:34,1.7,2.9,Withdrawal,T2,FALSE,4.6,TRUE,0
22,10/22/2025 11:35,2.5,3.5,Deposit,T2,FALSE,6,TRUE,0
23,10/22/2025 11:35,1,3.2,Deposit,T1,FALSE,4.2,TRUE,0
24,10/22/2025 11:36,1,3.8,Withdrawal,T1,FALSE,4.8,TRUE,0
25,10/22/2025 11:36,6.3,4.3,Loan Inquiry,T1,FALSE,10.6,TRUE,0
26,10/22/2025 11:38,4.9,2.9,Deposit,T2,FALSE,7.8,TRUE,0
27,10/22/2025 11:38,1.7,7.3,Balance Check,T2,FALSE,8.9,TRUE,0
28,10/22/2025 11:40,1,6.6,Deposit,T1,FALSE,7.6,TRUE,0
29,10/22/2025 11:41,1,5.9,Balance Check,T2,FALSE,6.9,TRUE,0
30,10/22/2025 11:42,2.3,5.8,Deposit,T1,FALSE,8,TRUE,0
31,10/22/2025 11:43,1,5,Deposit,T2,FALSE,6,TRUE,0
32,10/22/2025 11:45,3.7,4,Balance Check,T2,FALSE,7.7,TRUE,0
33,10/22/2025 11:48,1.9,2.2,Withdrawal,T1,FALSE,4.2,TRUE,0
34,10/22/2025 11:48,5.6,2.5,Loan Inquiry,T3,FALSE,8.1,TRUE,0
35,10/22/2025 11:49,1,3,Balance Check,T1,FALSE,4,TRUE,0
36,10/22/2025 11:49,10.8,3.8,Withdrawal,T2,FALSE,14.6,TRUE,0
37,10/22/2025 11:50,6,2.8,Deposit,T1,FALSE,8.9,TRUE,0
38,10/22/2025 11:54,1.7,2.4,Deposit,T3,FALSE,4.2,TRUE,0
39,10/22/2025 11:55,22.6,3.7,Deposit,T3,FALSE,26.2,TRUE,0
40,10/22/2025 11:55,1,3.5,Deposit,T1,FALSE,4.5,TRUE,0
41,10/22/2025 11:57,1,3.3,Deposit,T1,FALSE,4.3,TRUE,0
42,10/22/2025 12:01,48.5,0.4,Loan Inquiry,T1,FALSE,48.9,TRUE,0
43,10/22/2025 12:01,44.1,2.8,Loan Inquiry,T2,FALSE,46.9,TRUE,0
44,10/22/2025 12:01,1,19.7,Balance Check,T3,FALSE,20.7,TRUE,0
45,10/22/2025 12:02,21.1,19.7,Loan Inquiry,T3,FALSE,40.8,TRUE,0
46,10/22/2025 12:03,,39.4,Withdrawal,,TRUE,,FALSE,1
47,10/22/2025 12:04,,39.2,Deposit,,TRUE,,FALSE,2
48,10/22/2025 12:06,,36.4,Pay Order,,TRUE,,FALSE,3
49,10/22/2025 12:13,,29.6,Deposit,,TRUE,,FALSE,4
50,10/22/2025 12:14,,28.6,Deposit,,TRUE,,FALSE,5
51,10/22/2025 12:17,,26.1,Pay Order,,TRUE,,FALSE,6
52,10/22/2025 12:17,,25.9,Deposit,,TRUE,,FALSE,7
53,10/22/2025 12:17,,25.8,Loan Inquiry,,TRUE,,FALSE,8
54,10/22/2025 12:17,,25.7,Pay Order,,TRUE,,FALSE,9
55,10/22/2025 12:21,1,21.7,Deposit,T3,FALSE,22.7,TRUE,9
56,10/22/2025 12:21,6.4,22.6,Deposit,T3,FALSE,29,TRUE,9
57,10/22/2025 12:22,,25.9,Deposit,,TRUE,,FALSE,10
58,10/22/2025 12:26,3.8,21.9,Deposit,T2,FALSE,25.7,TRUE,10
59,10/22/2025 12:26,11.7,23.2,Pay Order,T1,FALSE,34.9,TRUE,10
60,10/22/2025 12:28,2.2,22.6,Loan Inquiry,T3,FALSE,24.8,TRUE,10
61,10/22/2025 12:30,2.9,21.8,Transfer,T2,FALSE,24.8,TRUE,10
62,10/22/2025 12:33,1,19.8,Balance Check,T3,FALSE,20.8,TRUE,10
63,10/22/2025 12:35,6.4,18.5,Withdrawal,T3,FALSE,24.9,TRUE,10
64,10/22/2025 12:35,8.6,19.4,Deposit,T2,FALSE,28,TRUE,10
65,10/22/2025 12:35,5.4,24.7,Loan Inquiry,T3,FALSE,30.1,TRUE,10
66,10/22/2025 12:38,9.7,23.6,Pay Order,T1,FALSE,33.4,TRUE,10
67,10/22/2025 12:40,8.5,23.3,Transfer,T2,FALSE,31.8,TRUE,10
68,10/22/2025 12:40,16.4,24.7,Pay Order,T3,FALSE,41.1,TRUE,10
69,10/22/2025 12:41,,30.4,Withdrawal,,TRUE,,FALSE,11
70,10/22/2025 12:43,,27.9,Balance Check,,TRUE,,FALSE,12
71,10/22/2025 12:47,1.3,23.8,Withdrawal,T1,FALSE,25.1,TRUE,12
72,10/22/2025 12:50,1.1,21.7,Deposit,T2,FALSE,22.8,TRUE,12
73,10/22/2025 12:51,8.9,21.6,Deposit,T1,FALSE,30.6,TRUE,12
74,10/22/2025 12:54,18.4,18.9,Pay Order,T2,FALSE,37.3,TRUE,12
75,10/22/2025 12:54,,27.3,Deposit,,TRUE,,FALSE,13
76,10/22/2025 13:00,2.7,21.6,Deposit,T1,FALSE,24.3,TRUE,13
77,10/22/2025 13:00,1.4,21.4,Withdrawal,T3,FALSE,22.8,TRUE,13
78,10/22/2025 13:01,7.5,22.1,Withdrawal,T3,FALSE,29.5,TRUE,13
79,10/22/2025 13:01,39.3,22.8,Pay Order,T1,FALSE,62.1,TRUE,13
80,10/22/2025 13:01,,29,Balance Check,,TRUE,,FALSE,14
81,10/22/2025 13:02,,28.4,Deposit,,TRUE,,FALSE,15
82,10/22/2025 13:04,,26.3,Deposit,,TRUE,,FALSE,16
83,10/22/2025 13:04,,26.1,Balance Check,,TRUE,,FALSE,17
84,10/22/2025 13:09,4.2,21.3,Balance Check,T3,FALSE,25.4,TRUE,17
85,10/22/2025 13:10,1,20.5,Loan Inquiry,T2,FALSE,21.5,TRUE,17
86,10/22/2025 13:11,3.7,21,Deposit,T2,FALSE,24.7,TRUE,17
87,10/22/2025 13:13,14.9,21.9,Pay Order,T3,FALSE,36.8,TRUE,17
88,10/22/2025 13:16,1,19.4,Withdrawal,T2,FALSE,20.4,TRUE,17
89,10/22/2025 13:17,11.3,20.1,Deposit,T2,FALSE,31.5,TRUE,17
90,10/22/2025 13:18,,29.8,Pay Order,,TRUE,,FALSE,18
91,10/22/2025 13:19,,29.4,Withdrawal,,TRUE,,FALSE,19
92,10/22/2025 13:20,,28.3,Transfer,,TRUE,,FALSE,20
93,10/22/2025 13:20,,28,Deposit,,TRUE,,FALSE,21
94,10/22/2025 13:22,,26.1,Balance Check,,TRUE,,FALSE,22
95,10/22/2025 13:23,1,24.7,Deposit,T2,FALSE,25.7,TRUE,22
96,10/22/2025 13:28,1.8,21.5,Deposit,T2,FALSE,23.3,TRUE,22
97,10/22/2025 13:30,3.5,19.7,Transfer,T3,FALSE,23.3,TRUE,22
98,10/22/2025 13:31,4.3,19.8,Balance Check,T2,FALSE,24.1,TRUE,22
99,10/22/2025 13:31,4.4,21.9,Balance Check,T3,FALSE,26.3,TRUE,22
100,10/22/2025 13:31,1,23.9,Withdrawal,T2,FALSE,24.9,TRUE,22
101,10/22/2025 13:35,1,21.6,Deposit,T2,FALSE,22.6,TRUE,22
102,10/22/2025 13:36,14.7,21.4,Withdrawal,T2,FALSE,36.1,TRUE,22
103,10/22/2025 13:39,57.8,18,Pay Order,T3,FALSE,75.9,TRUE,22
104,10/22/2025 13:40,2.9,23.6,Withdrawal,T1,FALSE,26.5,TRUE,22
105,10/22/2025 13:40,,25.9,Withdrawal,,TRUE,,FALSE,23
106,10/22/2025 13:41,,25.1,Pay Order,,TRUE,,FALSE,24
107,10/22/2025 13:44,6.5,22.2,Deposit,T1,FALSE,28.8,TRUE,24
108,10/22/2025 13:44,,27.5,Deposit,,TRUE,,FALSE,25
109,10/22/2025 13:45,,27.4,Balance Check,,TRUE,,FALSE,26
110,10/22/2025 13:49,65.9,22.7,Pay Order,T2,FALSE,88.6,TRUE,26
111,10/22/2025 13:52,1.3,20.9,Withdrawal,T1,FALSE,22.1,TRUE,26
112,10/22/2025 13:52,11.1,22.1,Pay Order,T1,FALSE,33.2,TRUE,26
113,10/22/2025 13:52,,33.1,Withdrawal,,TRUE,,FALSE,27
114,10/22/2025 13:53,,32.1,Deposit,,TRUE,,FALSE,28
115,10/22/2025 13:53,,31.9,Deposit,,TRUE,,FALSE,29
116,10/22/2025 13:53,,31.8,Withdrawal,,TRUE,,FALSE,30
117,10/22/2025 13:53,,31.7,Deposit,,TRUE,,FALSE,31
118,10/22/2025 13:54,,30.7,Withdrawal,,TRUE,,FALSE,32
119,10/22/2025 13:56,,29.5,Deposit,,TRUE,,FALSE,33
120,10/22/2025 13:56,,28.9,Deposit,,TRUE,,FALSE,34
121,10/22/2025 13:56,,28.7,Withdrawal,,TRUE,,FALSE,35
122,10/22/2025 13:57,,28,Loan Inquiry,,TRUE,,FALSE,36
123,10/22/2025 13:58,,27,Deposit,,TRUE,,FALSE,37
124,10/22/2025 13:58,,27,Deposit,,TRUE,,FALSE,38
125,10/22/2025 13:59,,25.9,Withdrawal,,TRUE,,FALSE,39
1,10/23/2025 11:00,1,0,Loan Inquiry,T1,FALSE,1,TRUE,0
2,10/23/2025 11:02,7.8,0,Deposit,T2,FALSE,7.8,TRUE,0
3,10/23/2025 11:06,11.1,0,Loan Inquiry,T3,FALSE,11.1,TRUE,0
4,10/23/2025 11:07,2,0,Balance Check,T1,FALSE,2,TRUE,0
5,10/23/2025 11:09,1.9,0.4,Deposit,T1,FALSE,2.3,TRUE,0
6,10/23/2025 11:10,16,0,Pay Order,T2,FALSE,16,TRUE,0
7,10/23/2025 11:13,9,0,Deposit,T1,FALSE,9,TRUE,0
8,10/23/2025 11:14,7.7,3,Deposit,T3,FALSE,10.6,TRUE,0
9,10/23/2025 11:17,2.9,5.3,Deposit,T1,FALSE,8.2,TRUE,0
10,10/23/2025 11:17,9.3,7.8,Loan Inquiry,T3,FALSE,17.1,TRUE,0
11,10/23/2025 11:17,5.9,7.8,Deposit,T1,FALSE,13.7,TRUE,0
12,10/23/2025 11:18,1.3,8.7,Pay Order,T2,FALSE,10,TRUE,0
13,10/23/2025 11:20,1.1,7.5,Balance Check,T2,FALSE,8.6,TRUE,0
14,10/23/2025 11:22,8,7.4,Withdrawal,T2,FALSE,15.4,TRUE,0
15,10/23/2025 11:22,38.7,8.5,Pay Order,T1,FALSE,47.2,TRUE,0
16,10/23/2025 11:23,11.5,11.1,Withdrawal,T3,FALSE,22.6,TRUE,0
17,10/23/2025 11:24,1,12.7,Balance Check,T2,FALSE,13.7,TRUE,0
18,10/23/2025 11:26,1,12,Transfer,T2,FALSE,13,TRUE,0
19,10/23/2025 11:27,22.2,12.3,Loan Inquiry,T2,FALSE,34.5,TRUE,0
20,10/23/2025 11:27,2.3,18.2,Withdrawal,T3,FALSE,20.5,TRUE,0
21,10/23/2025 11:29,1.9,18.7,Transfer,T3,FALSE,20.6,TRUE,0
22,10/23/2025 11:30,1,20,Balance Check,T3,FALSE,21,TRUE,0
23,10/23/2025 11:32,2.2,19.1,Transfer,T3,FALSE,21.3,TRUE,0
24,10/23/2025 11:34,1,18.4,Balance Check,T3,FALSE,19.4,TRUE,0
25,10/23/2025 11:40,1,13.8,Deposit,T3,FALSE,14.8,TRUE,0
26,10/23/2025 11:40,16,14.7,Deposit,T3,FALSE,30.6,TRUE,0
27,10/23/2025 11:43,1,18.6,Deposit,T2,FALSE,19.6,TRUE,0
28,10/23/2025 11:43,4.7,18.8,Transfer,T2,FALSE,23.6,TRUE,0
29,10/23/2025 11:46,19.8,21.1,Pay Order,T2,FALSE,41,TRUE,0
30,10/23/2025 11:47,6.5,22.6,Transfer,T1,FALSE,29.1,TRUE,0
31,10/23/2025 11:48,10.4,22.6,Loan Inquiry,T3,FALSE,33,TRUE,0
32,10/23/2025 11:49,,27.3,Balance Check,,TRUE,,FALSE,1
33,10/23/2025 11:49,,26.7,Withdrawal,,TRUE,,FALSE,2
34,10/23/2025 11:53,1.5,22.7,Deposit,T1,FALSE,24.2,TRUE,2
35,10/23/2025 11:54,1,23.2,Withdrawal,T1,FALSE,24.2,TRUE,2
36,10/23/2025 11:56,1,22.3,Deposit,T1,FALSE,23.3,TRUE,2
37,10/23/2025 11:57,7.4,23,Pay Order,T1,FALSE,30.4,TRUE,2
38,10/23/2025 11:59,1,22.5,Deposit,T3,FALSE,23.5,TRUE,2
39,10/23/2025 11:59,4,23.4,Deposit,T3,FALSE,27.4,TRUE,2
40,10/23/2025 11:59,,26.8,Deposit,,TRUE,,FALSE,3
41,10/23/2025 12:00,,25.7,Deposit,,TRUE,,FALSE,4
42,10/23/2025 12:02,2.1,24,Withdrawal,T3,FALSE,26.1,TRUE,4
43,10/23/2025 12:02,6.3,24.3,Withdrawal,T2,FALSE,30.6,TRUE,4
44,10/23/2025 12:07,9.1,20.1,Withdrawal,T1,FALSE,29.2,TRUE,4
45,10/23/2025 12:07,1,21.3,Deposit,T3,FALSE,22.3,TRUE,4
46,10/23/2025 12:09,33.5,19.8,Deposit,T3,FALSE,53.3,TRUE,4
47,10/23/2025 12:10,2.5,23.1,Withdrawal,T2,FALSE,25.6,TRUE,4
48,10/23/2025 12:11,21.2,24.2,Deposit,T2,FALSE,45.4,TRUE,4
49,10/23/2025 12:13,5.3,23.4,Withdrawal,T1,FALSE,28.7,TRUE,4
50,10/23/2025 12:13,,28.2,Balance Check,,TRUE,,FALSE,5
51,10/23/2025 12:13,,27.8,Balance Check,,TRUE,,FALSE,6
52,10/23/2025 12:14,,27,Withdrawal,,TRUE,,FALSE,7
53,10/23/2025 12:14,,26.8,Transfer,,TRUE,,FALSE,8
54,10/23/2025 12:17,12.6,24.2,Withdrawal,T1,FALSE,36.8,TRUE,8
55,10/23/2025 12:18,,35.8,Transfer,,TRUE,,FALSE,9
56,10/23/2025 12:19,,35.3,Deposit,,TRUE,,FALSE,10
57,10/23/2025 12:21,,33.3,Deposit,,TRUE,,FALSE,11
58,10/23/2025 12:23,,30.8,Balance Check,,TRUE,,FALSE,12
59,10/23/2025 12:23,,30.7,Withdrawal,,TRUE,,FALSE,13
60,10/23/2025 12:26,,28.2,Deposit,,TRUE,,FALSE,14
61,10/23/2025 12:27,,27.2,Deposit,,TRUE,,FALSE,15
62,10/23/2025 12:27,,26.4,Transfer,,TRUE,,FALSE,16
63,10/23/2025 12:28,,26.2,Deposit,,TRUE,,FALSE,17
64,10/23/2025 12:28,,26,Deposit,,TRUE,,FALSE,18
65,10/23/2025 12:28,,25.8,Balance Check,,TRUE,,FALSE,19
66,10/23/2025 12:32,4.8,22.1,Deposit,T1,FALSE,26.9,TRUE,19
67,10/23/2025 12:33,1,24,Balance Check,T2,FALSE,25,TRUE,19
68,10/23/2025 12:33,68.4,24.8,Pay Order,T2,FALSE,93.2,TRUE,19
69,10/23/2025 12:33,,25.7,Pay Order,,TRUE,,FALSE,20
70,10/23/2025 12:34,2,24.7,Withdrawal,T1,FALSE,26.8,TRUE,20
71,10/23/2025 12:36,8.7,25,Withdrawal,T1,FALSE,33.7,TRUE,20
72,10/23/2025 12:36,,26.8,Deposit,,TRUE,,FALSE,21
73,10/23/2025 12:37,,26.2,Withdrawal,,TRUE,,FALSE,22
74,10/23/2025 12:39,1,24.2,Deposit,T3,FALSE,25.2,TRUE,22
75,10/23/2025 12:42,7.4,21.4,Deposit,T3,FALSE,28.8,TRUE,22
76,10/23/2025 12:44,,25.4,Transfer,,TRUE,,FALSE,23
